oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr,distance_delight,hostsize
ZTF24abizwme,,good,80.0,19.770198822021484,22.72454643249512,19.84219846725464,20.001075,20.177810398864743,20.541688442230225,21.80831708908081,0.3157050258884276,23.0,19.8138,20.5728,19.920894,20.0092,20.1412,20.234655,20.4147531,0.0,14.505704091889621,1.4610064029693604
ZTF24abizyga,,good,48.0,18.69319534301757,24.748300552368164,18.750186330493165,19.20301567196655,19.87987804412841,21.91524362564087,24.239442539215087,1.2680895933441805,13.0,18.724285,19.9524,18.7482202,19.112873,19.249958,19.382057,19.7114928,0.0833587354063475,6.311443392713818,8.50503158569336
ZTF24abjaeuw,,good,65.0,19.423277,25.14717674255371,19.5224406015625,19.897396087646484,20.51564598083496,22.112445831298828,23.003124618530272,0.0,,,,,,,,,,7.300867938658043,5.399106502532959
ZTF24abjakdm,,good,80.0,18.79246711730957,25.47951316833496,18.893856982531737,19.42211152267456,19.884696006774902,21.805909633636475,24.393672943115234,0.0,24.0,18.840118,20.3471,18.89622745,19.193107,19.547684,19.81704925,20.012346,0.1428124372469831,116.55670890947086,5.275001049041748
ZTF24abjanqa,2024-09-25,bad,24.0,20.154257,24.84580039978028,20.32397508621216,20.55477482104492,22.35332489013672,23.98758220672607,24.546293544769284,0.0,3.0,20.154257,20.548033,20.175683300000003,20.2613885,20.36852,20.4582765,20.5300817,0.0,3.6252409338541507,0.9525876045227051
ZTF24abjaqus,2024-09-25,bad,104.0,19.706336975097656,26.670703887939453,19.99579782485962,20.22180225,20.5598783493042,21.71387624740601,24.62270288467408,0.0,22.0,19.8792,20.694,19.883761,20.08232475,20.2318295,20.39868625,20.62650245,0.0076393875443809,2.445790655632615,2.271878480911255
ZTF24abjarim,,good,34.0,20.30582,27.162511825561523,20.45434925720215,20.52384090423584,21.111814498901367,22.61642074584961,26.05529375076294,0.0,5.0,20.30582,20.5398,20.335496,20.4542,20.46077,20.4955,20.53094,0.0,7.939231875753787,1.4104630947113037
ZTF24abjcmby,,good,16.0,19.39315,23.75549697875977,19.4923945,19.581907,20.994053840637207,22.3825945854187,23.71803331375122,0.0,4.0,19.39315,19.586,19.4129989,19.4923945,19.547552000000003,19.573721,19.5835442,0.0,159.53034997106363,25.493854522705078
ZTF24abjcrge,2024-09-28,bad,38.0,19.64884,25.297962188720703,19.90462518588257,20.20078036651612,20.83936309814453,22.56179714202881,24.50664539337158,0.0,8.0,19.64884,20.4453,19.754148,20.01829925,20.095434,20.249775,20.400885,0.0216146742235533,3.7354559520818125,2.761808156967163
ZTF24abjczpg,2024-09-25,bad,44.0,19.955490112304688,26.12543487548828,19.983194120434568,20.15893697738648,20.39470276641846,22.26461744308472,25.11360788345337,0.0,8.0,19.980852,20.386625,19.9849435,20.05982225,20.1726825,20.241902,20.35452125,0.0,2.1891371382990075,1.7594350576400757
ZTF24abjdahk,,good,51.0,18.37673568725586,25.43455696105957,18.41947389453125,18.73772809942627,19.573618,22.54830265045166,24.22179317474365,0.0,9.0,18.417439,19.573618,18.4461594,18.629452,18.721693,19.10789,19.4910724,0.1476623789195848,7.812702130702011,3.7090067863464355
