oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr
ZTF22abhsjgb,,good,11.0,20.094324,21.3132,20.098412,20.1093245,20.24556,20.342427,21.028,0.1023954857859976,11.0,20.094324,21.3132,20.098412,20.1093245,20.24556,20.342427,21.028,0.1023954857859976
ZTF22abhsrll,,good,16.0,18.288813,20.5487,18.34032375,18.72733925,19.11322,19.48423175,20.4029,0.4219739402544368,16.0,18.288813,20.5487,18.34032375,18.72733925,19.11322,19.48423175,20.4029,0.4219739402544368
ZTF22abhsvef,2022-09-24,bad,5.0,19.9879,20.2717,20.0003034,20.049917,20.161777,20.20719,20.258798,0.0,5.0,19.9879,20.2717,20.0003034,20.049917,20.161777,20.20719,20.258798,0.0
ZTF22abhsxkn,,good,28.0,18.832376,20.8225,19.03258,19.1311205,19.525483,19.814164,20.695775,0.278276736003489,28.0,18.832376,20.8225,19.03258,19.1311205,19.525483,19.814164,20.695775,0.278276736003489
ZTF22abhsxph,,good,49.0,18.794802,20.1885,18.8059948,18.903706,19.070892,19.446827,19.945546,0.1410006717320853,49.0,18.794802,20.1885,18.8059948,18.903706,19.070892,19.446827,19.945546,0.1410006717320853
ZTF22abhtdms,2022-09-24,bad,12.0,19.823694,20.7317,19.84732585,19.88254275,20.2120375,20.394955,20.5799715,0.0545598276568966,12.0,19.823694,20.7317,19.84732585,19.88254275,20.2120375,20.394955,20.5799715,0.0545598276568966
ZTF22abhtjhj,2022-09-24,bad,1.0,20.553183,20.553183,20.553183,20.553183,20.553183,20.553183,20.553183,0.0,1.0,20.553183,20.553183,20.553183,20.553183,20.553183,20.553183,20.553183,0.0
ZTF22abhtnqi,,good,1.0,20.258057,20.258057,20.258057,20.258057,20.258057,20.258057,20.258057,0.0,1.0,20.258057,20.258057,20.258057,20.258057,20.258057,20.258057,20.258057,0.0
ZTF22abhtskv,,good,1.0,20.595188,20.595188,20.595188,20.595188,20.595188,20.595188,20.595188,0.0,1.0,20.595188,20.595188,20.595188,20.595188,20.595188,20.595188,20.595188,0.0
ZTF22abhtsql,2022-09-24,bad,1.0,20.661139,20.661139,20.661139,20.661139,20.661139,20.661139,20.661139,0.0,1.0,20.661139,20.661139,20.661139,20.661139,20.661139,20.661139,20.661139,0.0
ZTF22abhttuv,2022-09-24,bad,5.0,20.338715,20.7099,20.345523,20.372755,20.456,20.5811,20.68414,0.0,5.0,20.338715,20.7099,20.345523,20.372755,20.456,20.5811,20.68414,0.0
ZTF22abhtuyu,,good,4.0,20.595451,21.1095,20.64537835,20.84508775,20.9953,21.0741,21.10242,0.0,4.0,20.595451,21.1095,20.64537835,20.84508775,20.9953,21.0741,21.10242,0.0
ZTF22abhtwxu,2022-09-27,bad,13.0,19.862906,23.721752166748047,20.0005784,20.219547,21.276948928833008,21.50255584716797,22.48310089111328,0.0,5.0,19.862906,20.385962,19.9087968,20.09236,20.124777,20.219547,20.352679,0.008333063486646
ZTF22abhudnw,,good,22.0,19.723103,20.7885,19.7992565,19.8645325,20.186922,20.4784,20.6800861,0.0611724081720995,22.0,19.723103,20.7885,19.7992565,19.8645325,20.186922,20.4784,20.6800861,0.0611724081720995
ZTF22abhuemx,2022-09-24,bad,7.0,20.535091,21.0339,20.5687537,20.72615,20.863213,20.9624,21.02712,0.0,7.0,20.535091,21.0339,20.5687537,20.72615,20.863213,20.9624,21.02712,0.0
ZTF22abhukfn,2022-09-24,bad,1.0,20.143295,20.143295,20.143295,20.143295,20.143295,20.143295,20.143295,0.0,1.0,20.143295,20.143295,20.143295,20.143295,20.143295,20.143295,20.143295,0.0
ZTF22abhuohx,2022-09-24,bad,11.0,19.771843,20.6012,19.7962485,19.8516355,19.9739,20.2097555,20.49685,0.0364272875083092,11.0,19.771843,20.6012,19.7962485,19.8516355,19.9739,20.2097555,20.49685,0.0364272875083092
ZTF22abhuvug,,good,32.0,18.78924,20.5008,18.79371745,18.929756750000003,19.2186185,19.57729775,20.172415,0.1830980142159734,32.0,18.78924,20.5008,18.79371745,18.929756750000003,19.2186185,19.57729775,20.172415,0.1830980142159734
ZTF22abhuyly,2022-09-24,bad,1.0,20.562403,20.562403,20.562403,20.562403,20.562403,20.562403,20.562403,0.0,1.0,20.562403,20.562403,20.562403,20.562403,20.562403,20.562403,20.562403,0.0
ZTF22abhuyyo,2022-09-24,bad,2.0,20.513166,21.0007,20.5375427,20.6350495,20.756933,20.8788165,20.9763233,0.0158469897807118,2.0,20.513166,21.0007,20.5375427,20.6350495,20.756933,20.8788165,20.9763233,0.0158469897807118
ZTF22abhuzmp,,good,2.0,20.212404,20.5568,20.2296238,20.298503,20.384602,20.470701,20.5395802,0.0,2.0,20.212404,20.5568,20.2296238,20.298503,20.384602,20.470701,20.5395802,0.0
ZTF22abhuzqx,,good,14.0,19.814604,20.7136,19.81927035,19.8635915,19.969642,20.129757,20.354085,0.0235702084073498,14.0,19.814604,20.7136,19.81927035,19.8635915,19.969642,20.129757,20.354085,0.0235702084073498
ZTF22abhvfio,,good,29.0,17.957933,20.2584,17.9769192,18.249472,18.61643,19.12552,19.8120832,0.3467599947689356,29.0,17.957933,20.2584,17.9769192,18.249472,18.61643,19.12552,19.8120832,0.3467599947689356
ZTF22abhvfmz,,good,10.0,18.793472,20.3601,18.8294081,19.0030005,19.5957685,20.0261905,20.32311,0.327906148830379,10.0,18.793472,20.3601,18.8294081,19.0030005,19.5957685,20.0261905,20.32311,0.327906148830379
ZTF22abhvfna,,good,12.0,18.862473,19.9339,18.8860438,19.148011,19.572163,19.76360725,19.90761,0.1162010606484835,12.0,18.862473,19.9339,18.8860438,19.148011,19.572163,19.76360725,19.90761,0.1162010606484835
ZTF22abhvgld,2022-09-24,bad,314.0,18.701616,100.0,18.82200331464844,19.13811303710937,19.388663291931152,19.65321378894043,20.30979568222046,0.0,182.0,18.701616,20.581,18.8274829,19.14205,19.363575,19.64104375,20.1943417,0.1164086299805704
ZTF22abhvgrp,2022-09-24,bad,114.0,18.834720611572266,22.388505935668945,19.9135144,20.286125549133303,20.454249282836912,20.676559598083497,21.31688995361328,0.1406934432488038,63.0,19.243425,20.9052,19.93889,20.2523005,20.4057,20.53968,20.80596,0.0342732171170902
ZTF22abhvtcj,2022-09-24,bad,9.0,19.925323,20.8834,19.9355426,20.01695,20.0618,20.265324,20.6454,0.0494516563022641,9.0,19.925323,20.8834,19.9355426,20.01695,20.0618,20.265324,20.6454,0.0494516563022641
ZTF22abhvuhu,2022-09-24,bad,13.0,19.49042,20.2468,19.4926538,19.627234,19.736477,19.899197,20.2153834,0.033156620935701,13.0,19.49042,20.2468,19.4926538,19.627234,19.736477,19.899197,20.2153834,0.033156620935701
ZTF22abhvvao,,good,14.0,19.144049,20.053434,19.15304695,19.3337445,19.5766335,19.86958475,20.04798765,0.0950193495708079,14.0,19.144049,20.053434,19.15304695,19.3337445,19.5766335,19.86958475,20.04798765,0.0950193495708079
ZTF22abhvzsm,,good,6.0,18.912868,20.412012,18.92702775,19.01427675,19.299837,19.568331,20.210862,0.2921646482940342,6.0,18.912868,20.412012,18.92702775,19.01427675,19.299837,19.568331,20.210862,0.2921646482940342
ZTF22abhvztg,,good,38.0,18.90608,20.4834,18.95763525,19.0172385,19.311442,19.618300750000003,19.9603433,0.1199194814855255,38.0,18.90608,20.4834,18.95763525,19.0172385,19.311442,19.618300750000003,19.9603433,0.1199194814855255
ZTF22abhwdkk,,good,10.0,20.291489,20.7919,20.34355895,20.4728375,20.5980705,20.7249,20.775745,0.0,10.0,20.291489,20.7919,20.34355895,20.4728375,20.5980705,20.7249,20.775745,0.0
ZTF22abhwhtt,2022-09-24,bad,13.0,20.398108,21.0633,20.457682,20.7449,20.7656,20.8208,21.03624,0.0,13.0,20.398108,21.0633,20.457682,20.7449,20.7656,20.8208,21.03624,0.0
ZTF22abhwhuw,,good,10.0,20.177324,21.086,20.2349645,20.352129,20.5822085,20.66557875,20.984615,0.0201620163295524,10.0,20.177324,21.086,20.2349645,20.352129,20.5822085,20.66557875,20.984615,0.0201620163295524
ZTF22abhwkfc,2022-09-24,bad,5.0,20.14532,20.9302,20.1790924,20.314182,20.447203,20.604132,20.8649864,0.0369814232144049,5.0,20.14532,20.9302,20.1790924,20.314182,20.447203,20.604132,20.8649864,0.0369814232144049
ZTF22abhwkoc,2022-09-24,bad,8.0,19.90449,20.2895,19.9366935,20.042904,20.0911705,20.102385,20.2264825,0.0,8.0,19.90449,20.2895,19.9366935,20.042904,20.0911705,20.102385,20.2264825,0.0
ZTF22abhwlej,,good,6.0,19.18092,19.627773,19.20071725,19.29139675,19.387974,19.41012575,19.574981,0.0077178209585479,6.0,19.18092,19.627773,19.20071725,19.29139675,19.387974,19.41012575,19.574981,0.0077178209585479
